"severity","dimension","code","name","stage","detail"
"debt","deepVerification.notApproved","1301","極洋","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","130A","Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1332","ニッスイ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1333","Ｕｍｉｏｓ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","135A","ＶＲＡＩＮ Ｓｏｌｕｔｉｏｎ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1375","ユキグニファクトリー","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1376","カネコ種苗","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1377","サカタのタネ","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1379","ホクト","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","137A","Ｃｏｃｏｌｉｖｅ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1380","秋川牧園","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1381","アクシーズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1382","ホーブ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1383","ベルグアース","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1384","ホクリヨウ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","138A","光フードサービス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1401","エムビーエス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1407","ウエストホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1414","ショーボンドホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1417","ミライト・ワン","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1418","インターライフホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1419","タマホーム","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","141A","トライアルホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1420","サンヨーホームズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1429","日本アクア","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","142A","ジンジブ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1430","ファーストコーポレーション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1431","Ｌｉｂ　Ｗｏｒｋ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1433","ベステラ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1434","ＪＥＳＣＯホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1435","ｒｏｂｏｔ　ｈｏｍｅ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1436","グリーンエナジー＆カンパニー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1438","岐阜造園","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","143A","イシン","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1443","技研ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1444","ニッソウ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1446","キャンディル","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1447","ＳＡＡＦホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1450","ＴＡＮＡＫＥＮ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","145A","Ｌ ｉｓ Ｂ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","146A","コロンビア・ワークス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","147A","ソラコム","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","148A","ハッチ・ワーク","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1491","中外鉱業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","149A","シンカ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","150A","ＪＳＨ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1514","住石ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1515","日鉄鉱業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1518","三井松島ホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","151A","ダイブ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","153A","カウリス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","155A","情報戦略テクノロジー","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","156A","マテリアルグループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","157A","グリーンモンスター","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1605","ＩＮＰＥＸ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","160A","アズパートナーズ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1662","石油資源開発","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1663","Ｋ＆Ｏエナジーグループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","166A","タスキホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","167A","リョーサン菱洋ホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","168A","イタミアート","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1711","ＳＤＳホールディングス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1716","第一カッター興業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1717","明豊ファシリティワークス","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1718","美樹工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1719","安藤・間","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1720","東急建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1721","コムシスホールディングス","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1723","日本電技","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1724","シンクレイヤ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1736","オーテック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","173A","ハンモック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1758","太洋基礎工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","175A","Will Smart","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1762","高松コンストラクショングループ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1764","工藤建設","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1766","東建コーポレーション","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1768","ソネック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1770","藤田エンジニアリング","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","177A","コージンバイオ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1780","ヤマウラ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1783","ｆａｎｔａｓｉｓｔａ","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1786","オリエンタル白石","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1787","ナカボーテック","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1788","三東工業社","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1793","大本組","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1795","マサル","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1798","守谷商会","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1799","第一建設工業","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1801","大成建設","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1802","大林組","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1803","清水建設","core","status=not_started, stars=3"
"debt","deepVerification.notApproved","1807","佐藤渡辺","core","status=not_started, stars=2"
"debt","deepVerification.notApproved","1808","長谷工コーポレーション","core","status=not_started, stars=2"
