"priority","code","name","market","industry","stage","stars","score","machineReady","approvalReady","productionReady","approvals","distinctReviewers","lastVerifiedDate","missing"
"690","1301","極洋","Prime","水産・農林業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","130A","Ｖｅｒｉｔａｓ Ｉｎ Ｓｉｌｉｃｏ","Growth","医薬品","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1332","ニッスイ","Prime","水産・農林業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1333","Ｕｍｉｏｓ","Prime","水産・農林業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","135A","ＶＲＡＩＮ Ｓｏｌｕｔｉｏｎ","Growth","情報・通信業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1375","ユキグニファクトリー","Prime","水産・農林業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1376","カネコ種苗","Standard","水産・農林業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1377","サカタのタネ","Prime","水産・農林業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1379","ホクト","Prime","水産・農林業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","137A","Ｃｏｃｏｌｉｖｅ","Growth","情報・通信業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1380","秋川牧園","Standard","水産・農林業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1381","アクシーズ","Standard","水産・農林業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1382","ホーブ","Standard","水産・農林業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1383","ベルグアース","Standard","水産・農林業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1384","ホクリヨウ","Standard","水産・農林業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","138A","光フードサービス","Growth","小売業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1401","エムビーエス","Growth","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1414","ショーボンドホールディングス","Prime","建設業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1417","ミライト・ワン","Prime","建設業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1418","インターライフホールディングス","Standard","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1419","タマホーム","Prime","建設業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","141A","トライアルホールディングス","Growth","小売業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1420","サンヨーホームズ","Standard","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","142A","ジンジブ","Growth","サービス業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1430","ファーストコーポレーション","Standard","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1431","Ｌｉｂ　Ｗｏｒｋ","Growth","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1433","ベステラ","Prime","建設業","core","5","100","true","true","true","2","2","2026-07-20",""
"690","1434","ＪＥＳＣＯホールディングス","Standard","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1435","ｒｏｂｏｔ　ｈｏｍｅ","Standard","不動産業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1436","グリーンエナジー＆カンパニー","Growth","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","1438","岐阜造園","Standard","建設業","core","5","100","true","true","true","2","2","2026-07-21",""
"690","143A","イシン","Growth","サービス業","core","5","100","true","true","true","2","2","2026-07-20",""
