"code","name","market","industry","stage","deepVerified","provisionalCandidate","templateLike","formalPlan","financialStatementSource","administrativeDocument","pageEvidence","genericMetricFields","specificMetricFields","progressConnected","withinThreeYears","phaseScore","document","planPublishedDate","sourceUrl","templatePatternIds"
"1301","極洋","Prime","水産・農林業","core","false","true","false","true","false","false","3","0","3","true","true","149","中期経営計画 Gear Up Kyokuyo 2027/2026年3月期決算","2024-05-10","https://www.kyokuyo.co.jp/company/point/plan/index.html",""
"130A","Veritas In Silico","Growth","医薬品","core","false","true","true","true","false","false","5","2","0","true","true","110","事業計画及び成長可能性に関する説明資料","2026-02-12","https://www2.jpx.co.jp/disc/130A0/140120260212556443.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"1332","ニッスイ","Prime","水産・農林業","core","false","true","false","true","false","false","3","0","4","true","true","161","中期経営計画 GOOD FOODS Recipe2/2026年3月期決算","2025-04-09","https://www.nissui.co.jp/ir/ir_library/qa/2025_mid-term/index.html",""
"1333","Umios","Prime","水産・農林業","core","false","true","true","true","false","false","5","5","0","true","true","104","新長期ビジョン及び中期経営計画の策定に関するお知らせ","2025-03-24","https://www2.jpx.co.jp/disc/13330/140120250324598645.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"135A","VRAIN Solution","Growth","情報・通信業","core","false","true","true","true","false","false","4","4","0","true","true","107","事業計画及び成長可能性に関する事項","2026-05-29","https://www2.jpx.co.jp/disc/135A0/140120260512524967.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"1375","ユキグニファクトリー","Prime","水産・農林業","core","false","true","false","true","false","false","3","0","4","true","true","164","中期経営計画2030/2025年11月アップデート","2025-11-14","https://www.yukiguni-factory.co.jp/ir/middleplan/",""
"1376","カネコ種苗","Standard","水産・農林業","core","false","false","false","false","false","false","3","0","1","true","true","109","経営理念と戦略/2026年5月期~2028年5月期計画","2025-07-29","https://www.kanekoseeds.jp/finance/strategy.html",""
"1377","サカタのタネ","Prime","水産・農林業","core","false","true","false","true","false","false","3","0","2","true","true","156","長期経営計画 PASSION2035","2026-07-13","https://corporate.sakataseed.co.jp/news/2026/20260713.html",""
"1379","ホクト","Prime","水産・農林業","core","false","true","true","true","false","false","5","4","0","true","true","105","中期経営計画 (2025年3月期~2029年3月期)","2025-05-23","https://www2.jpx.co.jp/disc/13790/140120250522562336.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|generic_page_evidence|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
"137A","Cocolive","Growth","情報・通信業","core","false","true","true","true","false","false","3","4","0","true","true","99","事業計画及び成長可能性に関する事項","2025-08-29","https://www2.jpx.co.jp/disc/137A0/140120250828549132.pdf","generic_metric_confirmation|refer_to_original_for_definition|generic_period|generic_topics_statement|automatic_extraction_not_comparable|generic_primary_evidence_count|generic_jpx_summary"
